ordem,nome,telefone,whatsapp,site,cidade,bairro,endereco,observacoes
1,Doutor Carlos A Sugaya,"","","","","","Rua Ken Sugaya, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
2,"","","","","","",SP,Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
3,Oralcamp,+55 (19) 3342-5050,"","",Campinas,Vila Itapura,"Rua Visconde de Taunay, 184, Vila Itapura, Campinas, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
4,Odontologia RM,"","",https://www.odontologiarm.com.br/,"","","1057, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
5,Odonto Ubatuba,"","","","","","Avenida Dona Maria Alves, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
6,Clínica Vicentini,"","","",Ribeirão Preto,Jardim Canada,"Rua Galileu Galilei, 1685, Jardim Canada, Ribeirão Preto, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
7,Maximplante Clinica de Implantes Dentários,"","",http://maximplante.com.br,"","","Rua Benedito Calixto, 182, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
8,"","","","",São Paulo,"","Rua José Antônio Coelho, 168, São Paulo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
9,Dra. Ilka Nagasawa,"","","","","",SP,Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
10,Sorridents,"","",https://sorridents.com.br,"","","Avenida Puglisi, 591, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
11,Mikado Odontologia,+55 12 3931 8619,"","",São José dos Campos,Jardim Oriente,"Praça Mikado, 123, Jardim Oriente, São José dos Campos, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
12,Vittá Ortodontia,+55 11 4356 6656,"","",São Bernardo do Campo,"","Rua Luis de Gois, São Bernardo do Campo, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
13,Erivelton F. Pasti,"","","",Franca,Centro,"Rua General Osório, 2267, Centro, Franca, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
14,Clínica Dentária Marlon F. Magalhães,"","","","","",SP,Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
15,Dentistas especializados,"","","",Sumaré,"","Sumaré, SP",Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
16,"","","","","","",SP,Lead B2B público. Verificar manualmente antes de contato. Fonte: OpenStreetMap.
